ActualPower;Max Capacity;Location 1;Location 2;Location 3;Location 4
0.004;45;3.9;2.907;0.237;2.281
0.423;45;4.2;3.069;0.254;2.477
0.805;45;4;4.226;0.249;3.577
1.985;45;4;4.223;0.317;3.685
4.492;45;3.3;4.107;0.288;3.619
7.886;45;3.2;3.991;0.185;3.409
12.939;45;2.4;4.058;0.137;3.24
14.954;45;2.8;4.327;0.152;3.208
17.47;45;3;4.735;0.195;3.364
20.196;45;1.9;5.278;0.241;3.769
24.327;45;2.2;5.844;0.289;4.298
25.96;45;1.9;6.318;0.333;4.786
25.513;45;2.2;6.631;0.348;5.148
24.848;45;1.3;6.828;0.39;5.429
24.75;45;0.9;6.998;0.443;5.715
23.566;45;0;7.158;0.483;6.009
20.282;45;2;7.292;0.595;6.308
19.554;45;2.4;7.406;0.877;6.621
18.579;45;3.7;7.554;1.423;6.966
19.654;45;5.5;7.677;2.174;7.291
19.444;45;6.1;7.742;2.82;7.541
19.143;45;6.9;7.782;3.212;7.724
17.293;45;6.5;7.803;3.516;7.888
16.794;45;7;7.796;3.754;7.958
16.321;45;7.8;7.809;3.968;7.988
18.383;45;7.2;7.899;4.196;8.053
21.099;45;8;8.07;4.432;8.175
21.594;45;6.9;8.302;4.654;8.342
20.753;45;7.6;8.57;4.848;8.539
20.794;45;8.9;8.851;4.987;8.755
20.96;45;8.7;9.113;5.063;8.966
20.366;45;6.6;9.345;5.111;9.15
20.557;45;7.4;9.544;5.188;9.314
22.46;45;6.8;9.694;5.287;9.443
22.45;45;6.9;9.856;5.412;9.589
23.358;45;7.1;10.065;5.464;9.782
24.204;45;7.4;10.362;5.328;10.161
23.34;45;7.3;10.666;5.586;10.622
24.093;45;7.4;10.814;6.053;10.686
21.638;45;8.5;10.808;6.388;10.547
17.137;45;8.9;10.717;6.63;10.33
14.624;45;9.3;10.587;6.784;10.101
14.727;45;7.7;10.395;6.88;9.873
15.291;45;7.1;10.178;6.951;9.663
15.178;45;7.1;9.966;6.978;9.46
14.986;45;8.1;9.8;6.995;9.363
13.51;45;6.8;9.686;7.05;9.339
13.776;45;9;9.618;7.111;9.35
12.217;45;8.8;9.585;7.188;9.386
12.347;45;8.3;9.551;7.24;9.426
12.887;45;8.4;9.477;7.239;9.427
13.533;45;8.9;9.359;7.192;9.386
12.914;45;8.8;9.195;7.082;9.29
12.543;45;9.4;9.02;6.917;9.166
13.339;45;9;8.862;6.712;9.031
14.644;45;8.1;8.77;6.496;8.924
15.002;45;7.1;8.807;6.311;8.912
16.599;45;7.4;9.003;6.146;9.032
17.134;45;8.2;9.247;5.881;9.341
18.202;45;7.4;9.361;5.438;9.562
17.047;45;8.3;9.437;5.748;9.575
17.376;45;7.7;9.657;5.951;9.741
16.474;45;7.3;9.977;6.13;10.016
16.182;45;7.2;10.35;6.313;10.33
14.899;45;7.3;10.725;6.476;10.623
12.386;45;7.5;11.048;6.609;10.853
11.095;45;8.8;11.274;6.688;10.99
10.876;45;8;11.412;6.697;11.048
10.154;45;6.5;11.478;6.661;11.069
9.475;45;7.4;11.47;6.597;11.067
9.507;45;8.3;11.399;6.51;11.045
9.723;45;7.4;11.29;6.418;11.012
9.471;45;8.4;11.16;6.331;10.97
10.192;45;8.4;11.007;6.24;10.899
11.178;45;9.1;10.834;6.136;10.794
11.696;45;8.8;10.638;6.009;10.645
12.573;45;8.1;10.424;5.864;10.458
13.369;45;8;10.204;5.705;10.247
11.543;45;8;9.989;5.546;10.028
8.743;45;8.1;9.767;5.38;9.794
7.062;45;7.4;9.554;5.224;9.563
7.239;45;7.2;9.358;5.089;9.346
6.832;45;6.5;9.164;4.972;9.129
6.623;45;6.5;8.968;4.864;8.91
4.634;45;6.5;8.775;4.765;8.689
3.213;45;6.1;8.594;4.672;8.476
3.769;45;5.7;8.442;4.593;8.296
4.787;45;5.7;8.337;4.53;8.174
5.609;45;5.7;8.291;4.496;8.118
5.525;45;5.5;8.29;4.475;8.112
6.091;45;5.4;8.316;4.455;8.139
7.884;45;5.8;8.367;4.452;8.203
11.938;45;6.5;8.424;4.467;8.284
15.747;45;6.5;8.462;4.491;8.352
19.237;45;5.5;8.477;4.53;8.405
20.544;45;5.7;8.49;4.607;8.474
20.857;45;5.4;8.501;4.71;8.548
21.071;45;5.3;8.501;4.818;8.612
19.508;45;5.9;9.026;5.084;9.217
18.189;45;6.1;9.011;5.184;9.317
20.037;45;4.8;8.97;5.325;9.345
22.729;45;4.4;8.901;5.431;9.303
24.172;45;5.1;8.797;5.485;9.2
25.072;45;6.3;8.687;5.488;9.081
25.303;45;6.1;8.604;5.476;8.988
24.222;45;5.8;8.514;5.425;8.895
22.428;45;5.8;8.461;5.399;8.85
20.969;45;6.8;8.376;5.352;8.775
22.016;45;6.9;8.274;5.307;8.688
22.248;43.75;7.6;8.183;5.277;8.607
19.457;43.75;6.8;8.104;5.272;8.547
20.114;43.75;6.9;8.039;5.302;8.511
22.364;43.75;7.4;7.982;5.352;8.486
21.592;43.75;7.2;7.957;5.433;8.495
20.863;43.75;6.7;7.932;5.509;8.494
20.684;43.75;6.8;7.904;5.571;8.476
20.151;45;8;7.861;5.598;8.428
16.666;45;8.2;7.792;5.583;8.338
13.844;45;8;7.705;5.537;8.221
12.572;45;8.4;7.613;5.473;8.093
13.863;45;8.6;7.549;5.415;7.99
14.669;45;8.2;7.532;5.373;7.932
14.412;45;8.8;7.564;5.35;7.927
15.486;45;8.3;7.652;5.329;7.983
15.013;45;8.4;7.775;5.303;8.082
14.656;45;8.3;7.909;5.269;8.2
13.913;43.5;7.5;8.041;5.236;8.326
14.965;45;7.4;8.183;5.224;8.477
13.275;45;8.9;8.318;4.958;8.625
12.726;45;7.9;8.458;4.922;8.771
12.694;45;9.2;8.603;5.288;8.938
12.652;45;8.4;8.748;5.565;9.107
13.225;45;8.3;8.89;5.799;9.224
11.26;45;7.8;9.042;5.992;9.275
11.312;45;7.1;9.174;6.151;9.258
11.825;45;7.6;9.25;6.287;9.21
12.926;45;7.5;9.277;6.422;9.147
14.426;45;7;9.25;6.526;9.063
12.398;45;7;9.173;6.586;8.973
10.496;45;7.1;9.056;6.601;8.86
11.525;45;6.7;8.906;6.583;8.744
11.758;45;6.8;8.74;6.54;8.609
11.713;45;7.8;8.607;6.479;8.498
10.382;45;7.6;8.471;6.422;8.396
9.848;43.5;7.1;8.342;6.366;8.301
8.279;45;6.8;8.231;6.317;8.23
7.33;45;7.4;8.145;6.278;8.185
7.644;45;7.8;8.085;6.243;8.158
6.751;45;8.1;8.055;6.218;8.154
6.959;45;8.1;8.048;6.203;8.169
7.584;45;7.8;8.071;6.194;8.199
7.079;43.75;7.1;8.115;6.184;8.246
6.28;43.75;7.8;8.195;6.18;8.324
5.975;43.75;7.6;8.32;6.153;8.441
6.315;43.75;6.8;8.478;6.056;8.609
7.303;43.75;6.6;8.685;5.636;8.901
8.243;43.75;6;8.708;5.583;8.976
7.867;43.75;5.7;8.654;5.615;8.969
8.886;43.75;5.2;8.595;5.645;8.943
11.115;43.75;6.6;8.535;5.671;8.926
14.338;43.75;7.5;8.481;5.69;8.92
15.686;43.75;6.7;8.424;5.7;8.913
18.326;43.75;7.2;8.336;5.698;8.858
15.073;;6.1;8.233;5.691;8.775
18.852;43.75;6.6;8.128;5.666;8.682
22.149;43.75;6.8;8.016;5.612;8.571
20.881;43.75;5.8;7.909;5.539;8.454
26.11;43.75;4.9;7.802;5.455;8.336
28.896;43.75;4.8;7.707;5.377;8.232
31.167;43.75;5.5;7.642;5.328;8.166
33.438;43.75;5.5;7.607;5.308;8.138
33.849;43.75;4.7;7.597;5.318;8.136
32.56;43.75;5;7.601;5.353;8.145
32.165;43.75;4.7;7.604;5.401;8.146
33.092;43.75;5.8;7.601;5.463;
34.977;43.75;6.5;7.586;5.532;8.126
35.773;43.75;7.1;7.582;5.612;8.123
36.477;43.75;7.5;7.59;5.701;8.138
37.219;43.75;7.6;7.627;5.8;8.186
36.844;43.75;9.9;7.678;5.899;8.258
36.886;43.75;9.5;7.741;6.001;8.341
